date, pm25, pm10, o3, no2, so2, co
20/04/2024,39,20,33,16, , 
21/04/2024,34,24,32,21, , 
22/04/2024,44,24,38,19, , 
23/04/2024,46,20,32,15, , 
24/04/2024,37,31,37,27, , 
25/04/2024,52,40,34,32, , 
26/04/2024,66,18,26,26, , 
27/04/2024,50,15,36,19, , 
28/04/2024,33,24,34,29, , 
29/04/2024,42,28,32,28, , 
30/04/2024,50,27,34,17, , 
01/05/2024,60,13,28,15, , 
02/05/2024,29,20,36,21, , 
03/05/2024,32,18,32,29, , 
04/05/2024,38,19,27,25, , 
05/05/2024,38,17,37,22, , 
06/05/2024,27,31,33,22, , 
07/05/2024,52,23,28,17, , 
08/05/2024,55,32,38,25, , 
09/05/2024,68,34,45,31, , 
10/05/2024,65,33,50,33, , 
11/05/2024,60,32,41,34, , 
12/05/2024,55,35,36,26, , 
13/05/2024,54,20,24,26, , 
14/05/2024,51,18,31,25, , 
15/05/2024,42,18,32,21, , 
16/05/2024,37,23,31,31, , 
17/05/2024,48,22,32,25, , 
18/05/2024,46,16,38,9, , 
19/05/2024,52,19,41,7, , 
20/05/2024,62,18,30,18, , 
21/05/2024,50,22,37,11, , 
22/05/2024,50,21,35,24, , 
23/05/2024,41,16,30,14, , 
24/05/2024,41,21,38,23, , 
25/05/2024,46,19,31,17, , 
26/05/2024,29,17,33,15, , 
27/05/2024,22,22,26,25, , 
28/05/2024,61,16,22,20, , 
29/05/2024,30,18,30,13, , 
30/05/2024,28,13,26,11, , 
31/05/2024,36,19,25,12, , 
01/06/2024,46,24,33,13, , 
02/06/2024,48,25,34,17, , 
03/06/2024,55,31,38,24, , 
04/06/2024,56,17,33,14, , 
05/06/2024,25,30,36,20, , 
06/06/2024,60,22,44,17, , 
07/06/2024,53,21,37,14, , 
08/06/2024,48,17,35,12, , 
09/06/2024,33,20,27,10, , 
10/06/2024,35,19,30,17, , 
11/06/2024,36,21,27,19, , 
12/06/2024,45,25, ,22, , 
13/06/2024,40,24,31,19, , 
14/06/2024,35,20,28,11, , 
15/06/2024,28,14,24,13, , 
16/06/2024,31,23,25,19, , 
17/06/2024,39,20,27,16, , 
18/06/2024,35,24,27,21, , 
19/06/2024,41,29,25,24, , 
20/06/2024,54,33,39,21, , 
21/06/2024,66,17,30,13, , 
22/06/2024,33,18,37,18, , 
23/06/2024,41,24,15,21, , 
24/06/2024,43, , , , , 
27/06/2024,78,23, , , , 
28/06/2024,43,20,23,14, , 
29/06/2024,43,25,37,9, , 
30/06/2024,46,17,27,9, , 
01/01/2024,32, , ,13, , 
02/01/2024,21,10,32,18, , 
03/01/2024,43,20,27,15, , 
04/01/2024,46,14,29,15, , 
05/01/2024,38,13,16,15, , 
06/01/2024,42,16,19,10, , 
07/01/2024,39,18,23,13, , 
08/01/2024,53,26,10,18, , 
09/01/2024,68,44,9,26, , 
10/01/2024,81,43,7,24, , 
11/01/2024,94,34,14,27, , 
12/01/2024,73,31,13,26, , 
13/01/2024,78,37,13,24, , 
14/01/2024,87,27,18,28, , 
15/01/2024,57,58,16,36, , 
16/01/2024,109,29,16,24, , 
17/01/2024,64,65,22,25, , 
18/01/2024,69,41,15,38, , 
19/01/2024,91,35,18,32, , 
20/01/2024,72,25,22,20, , 
21/01/2024,56,20,27,14, , 
22/01/2024,40,26,24,21, , 
23/01/2024,49,31,27,22, , 
24/01/2024,40,25,22,29, , 
25/01/2024,77,25,24,25, , 
26/01/2024,45,43,18,46, , 
27/01/2024,73,35,8,36, , 
28/01/2024,75,42,13,32, , 
29/01/2024,74,31,19,27, , 
30/01/2024,57,37,20,34, , 
31/01/2024,56,26,21,22, , 
01/02/2024,45,28,18,27, , 
02/02/2024,49,19,21,21, , 
03/02/2024,36,16,23,15, , 
04/02/2024,29,35,23,16, , 
05/02/2024,62,28,21,15, , 
06/02/2024,59,19,25,16, , 
07/02/2024,46,29,22,20, , 
08/02/2024,51,13,23,22, , 
09/02/2024,31,18,21,30, , 
10/02/2024,43,17,22,16, , 
11/02/2024,43,27,21,29, , 
12/02/2024,63,32,23,33, , 
13/02/2024,60,28,19,24, , 
14/02/2024,51,39,14,32, , 
15/02/2024,62,24,28,17, , 
16/02/2024,45,26,30,24, , 
17/02/2024,47,20,21,21, , 
18/02/2024,45,22,23,14, , 
19/02/2024,35,31,20,21, , 
20/02/2024,55,25,22,24, , 
21/02/2024,49,14,32,16, , 
22/02/2024,24,18,28,21, , 
23/02/2024,24,14,27,23, , 
24/02/2024,33,11,24,23, , 
25/02/2024,31,14,19,27, , 
26/02/2024,36,28,21,18, , 
27/02/2024,58,32,24,31, , 
28/02/2024,52,18,29,27, , 
29/02/2024,34,17,30,24, , 
01/03/2024,31,13,27,19, , 
02/03/2024,31,18,22,18, , 
03/03/2024,51,27,32,42, , 
04/03/2024,50,23,28,32, , 
05/03/2024,33,23,18,28, , 
06/03/2024,50,34,23,31, , 
07/03/2024,62,34,28,27, , 
08/03/2024,64,19,25,29, , 
09/03/2024,42,13,25,26, , 
10/03/2024,37,23,23,23, , 
11/03/2024,51,14,19,19, , 
12/03/2024,49,23,20,21, , 
13/03/2024,38,32,25,26, , 
14/03/2024,46,20,29,18, , 
15/03/2024,33,17,29,16, , 
16/03/2024,31,22,17,28, , 
17/03/2024,57,22,27,19, , 
18/03/2024,44,35,29,29, , 
19/03/2024,62,44,29,36, , 
20/03/2024,69,38,28,25, , 
21/03/2024,68,39,26,23, , 
22/03/2024,70,16,31,10, , 
23/03/2024,28,16,30,9, , 
24/03/2024,32,31,30,30, , 
25/03/2024,48,21,29,29, , 
26/03/2024,45,19,31,25, , 
27/03/2024,33,22,34,20, , 
28/03/2024,28,20,34,27, , 
29/03/2024,33,15,31,28, , 
30/03/2024,37,19,29,28, , 
31/03/2024,43,13,34,19, , 
01/10/2023,75,48,34,37, , 
02/10/2023,82,25,30,16, , 
03/10/2023,49,30,25,25, , 
04/10/2023,47,42,25,34, , 
05/10/2023,66,44,33,37, , 
06/10/2023,72,42,36,39, , 
07/10/2023,76,48,26,45, , 
08/10/2023,86,52,29,41, , 
09/10/2023,91,55,37,39, , 
10/10/2023,82,50,35,25, , 
11/10/2023,74,38,24,22, , 
12/10/2023,69,49,30,23, , 
13/10/2023,68,19,24,12, , 
14/10/2023,39,18,25,18, , 
15/10/2023,40,27,21,23, , 
16/10/2023,51,31,16,23, , 
17/10/2023,53,30,22,22, , 
18/10/2023,54,26,23,26, , 
19/10/2023,46,143,25,27, , 
20/10/2023,45,36,29,16, , 
21/10/2023,40,24,26,20, , 
22/10/2023,52,25,18,25, , 
23/10/2023,58,24,26,24, , 
24/10/2023,46,16,22,21, , 
25/10/2023,42,27,21,25, , 
26/10/2023,53,18,25,23, , 
27/10/2023,45,18,26,20, , 
28/10/2023,48,21,28,19, , 
29/10/2023,39,21,19,28, , 
30/10/2023,50,25,21,24, , 
31/10/2023,51,19,23,19, , 
01/11/2023,43,21,30,13, , 
02/11/2023,35,19,22,25, , 
03/11/2023,44,19,29,20, , 
04/11/2023,40,14,30,15, , 
05/11/2023,38,20,27,20, , 
06/11/2023,42,22,25,22, , 
07/11/2023,42,16,23,23, , 
08/11/2023,44,14,24,21, , 
09/11/2023,43,20,23,20, , 
10/11/2023,43,23,19,25, , 
11/11/2023,52,21,24,25, , 
12/11/2023,51,21,24,20, , 
13/11/2023,45,22,27,19, , 
14/11/2023,49,26,24,22, , 
15/11/2023,47,24,19,27, , 
16/11/2023,67,21,20,28, , 
17/11/2023,44,24,16,28, , 
18/11/2023,62,23,26,19, , 
19/11/2023,47,22,25,18, , 
20/11/2023,38,15,15,18, , 
21/11/2023,41,27,12,22, , 
22/11/2023,58,27,24,26, , 
23/11/2023,56,21,23,18, , 
24/11/2023,41,21,20,18, , 
25/11/2023,50,31,22,30, , 
26/11/2023,69,18,22,22, , 
27/11/2023,45,26,19,18, , 
28/11/2023,53,37,17,33, , 
29/11/2023,79,40,8,31, , 
30/11/2023,94,36,9,23, , 
01/12/2023,95,36,11,24, , 
02/12/2023,85,40,11,27, , 
03/12/2023,92,19,19,27, , 
04/12/2023,47,13,18,15, , 
05/12/2023,36,34,10,29, , 
06/12/2023,69,26,9,27, , 
07/12/2023,65,30,19,36, , 
08/12/2023,62,25,30,24, , 
09/12/2023,52,24,26,24, , 
10/12/2023,54,31,23,28, , 
11/12/2023,58,24,26,31, , 
12/12/2023,47,19,24,25, , 
13/12/2023,38,17,13,17, , 
14/12/2023,39,27,13,27, , 
15/12/2023,57,43,16,40, , 
16/12/2023,92,36,3,25, , 
17/12/2023,81,25,11,26, , 
18/12/2023,58,29,21,25, , 
19/12/2023,53,20,25,26, , 
20/12/2023,42,18,28,22, , 
21/12/2023,34,19,27,18, , 
22/12/2023,40,13,29,16, , 
23/12/2023,27,18,28,16, , 
24/12/2023,32,17,29,13, , 
25/12/2023,32,24,30,20, , 
26/12/2023,41,23,20,27, , 
27/12/2023,45,23,24,17, , 
28/12/2023,41,24,26,17, , 
29/12/2023,34,17,23,28, , 
30/12/2023,34,18,31,13, , 
31/12/2023,35,21,23,19, , 
01/07/2023,92,35,34,10, , 
02/07/2023,95,16,35,4, , 
03/07/2023,51,24,29,8, , 
04/07/2023,45,26, ,14, , 
05/07/2023,44,39, ,31, , 
06/07/2023,62,35, ,39, , 
07/07/2023,64,32, ,38, , 
08/07/2023,64,23, ,16, , 
09/07/2023,53,33, ,26, , 
10/07/2023,47,53, ,27, , 
11/07/2023,54,33, ,17, , 
12/07/2023,45,29, ,16, , 
13/07/2023,41,36, ,26, , 
14/07/2023,59,32, ,14, , 
15/07/2023,45,25, ,12, , 
16/07/2023,51,28, ,18, , 
17/07/2023,48,32, ,33, , 
18/07/2023,56,44, ,13, , 
19/07/2023,44,26,36,19, , 
20/07/2023,50,35,39,16, , 
21/07/2023,47,26,35,18, , 
22/07/2023,48,20,26,12, , 
23/07/2023,44,22,25,19, , 
24/07/2023,47,17,26,18, , 
25/07/2023,47,24,30,22, , 
26/07/2023,53,20,22,16, , 
27/07/2023,43,19,16,21, , 
28/07/2023,53,18,23,21, , 
29/07/2023,54,17,30,10, , 
30/07/2023,40,20,24,17, , 
31/07/2023,41,17,27,12, , 
01/08/2023,42,18,31,13, , 
02/08/2023,39,17,24,14, , 
03/08/2023,36,19,32,15, , 
04/08/2023,49,17,26,17, , 
05/08/2023,43,11,30,7, , 
06/08/2023,32,20,29,11, , 
07/08/2023,35,23,30,16, , 
08/08/2023,43,19,27,16, , 
09/08/2023,42,27,36,32, , 
10/08/2023,60,25,33,22, , 
11/08/2023,65,13,32,13, , 
12/08/2023,49,20,32,19, , 
13/08/2023,45,26,11,24, , 
14/08/2023,52,16, ,15, , 
15/08/2023,47,21,31,23, , 
16/08/2023,50,28,38,24, , 
17/08/2023,66,38,36,31, , 
18/08/2023,77,26,28,23, , 
19/08/2023,54,19,38,18, , 
20/08/2023,46,23,37,21, , 
21/08/2023,45,32,46,29, , 
22/08/2023,59,30,46,26, , 
23/08/2023,49,33,32,28, , 
24/08/2023,52,22,30,18, , 
25/08/2023,53,15,27,18, , 
26/08/2023,33,13,28,11, , 
27/08/2023,27,18,28,14, , 
28/08/2023,29,18,31,16, , 
29/08/2023,42,15,32,17, , 
30/08/2023,43,35,25,23, , 
31/08/2023,44,22,20,21, , 
01/09/2023,79,25,28,25, , 
02/09/2023,90,21,38,23, , 
03/09/2023,52,97,38,26, , 
04/09/2023,61,42,46,43, , 
05/09/2023,70,47,45,43, , 
06/09/2023,69,44,73,50, , 
07/09/2023,76,53,63,54, , 
08/09/2023,91,46,61,49, , 
09/09/2023,79,38,57,38, , 
10/09/2023,74,36,39,25, , 
11/09/2023,71,20,20,21, , 
12/09/2023,54,33,18,26, , 
13/09/2023,64,41,29,33, , 
14/09/2023,68,36,36,35, , 
15/09/2023,59,32,35,35, , 
16/09/2023,66,31,28,28, , 
17/09/2023,62,21,31,17, , 
18/09/2023,45,23,26,16, , 
19/09/2023,55,28,31,23, , 
20/09/2023,66,19,24,25, , 
21/09/2023,53,16,27,21, , 
22/09/2023,39,19,26,19, , 
23/09/2023,41,27,30,27, , 
24/09/2023,61,32,24,28, , 
25/09/2023,56,41,31,39, , 
26/09/2023,69,42,31,37, , 
27/09/2023,58,35,30,24, , 
28/09/2023,50,29,29,23, , 
29/09/2023,50,35,28,33, , 
30/09/2023,68,35,33,33, , 
01/04/2023,27,19,25,12, , 
02/04/2023,46,23,30,26, , 
03/04/2023,49,25,32,30, , 
04/04/2023,55,38,32,31, , 
05/04/2023,67,32,34,28, , 
06/04/2023,51,25,31,21, , 
07/04/2023,42,27,34,27, , 
08/04/2023,54,31,38,28, , 
09/04/2023,65,23,33,22, , 
10/04/2023,44,22,31,18, , 
11/04/2023,35,15,36,18, , 
12/04/2023,26,25,33,19, , 
13/04/2023,34,22,24,27, , 
14/04/2023,40,18,24,18, , 
15/04/2023,38,23,36,18, , 
