date, pm25, pm10, o3, no2, so2, co
2024/4/4, 31, 16, 39, 9, , 2
2024/4/5, 56, 14, 36, 7, , 2
2024/4/6, 56, 12, 49, 8, , 2
2024/4/7, 47, 12, 38, 13, , 2
2024/4/8, 41, 6, 43, 5, , 1
2024/4/9, 18, 9, 42, 6, , 2
2024/4/10, 50, 12, 44, 13, , 2
2024/4/11, 43, 13, 42, 10, , 2
2024/4/12, 40, 13, 49, 9, , 2
2024/4/13, 38, 15, 65, 8, , 2
2024/4/14, 45, 14, 57, 7, , 2
2024/4/15, 44, 13, 48, 4, , 
2024/4/16, 39, 12, 57, 4, , 
2024/4/17, 36, 39, 40, 6, , 2
2024/4/18, 76, 32, 42, 4, , 2
2024/4/19, 79, 30, 60, 8, , 2
2024/4/20, 77, 28, 63, 7, , 2
2024/4/21, 68, 21, 39, 8, , 2
2024/4/22, 60, 15, 31, 8, , 2
2024/4/23, 43, 7, 28, 6, , 
2024/4/24, 18, 7, 54, 6, , 2
2024/4/25, 22, 13, 49, 9, , 2
2024/4/26, 43, 14, 46, 12, , 2
2024/4/27, 41, 20, 80, 9, , 3
2024/4/28, 59, 16, 53, 5, , 2
2024/4/29, 45, 13, 36, 7, , 2
2024/4/30, 32, 12, 37, 7, , 2
2024/5/1, 30, 10, 43, 3, , 1
2024/5/2, 27, 12, 55, 5, , 2
2024/5/3, 37, 15, 75, 6, , 2
2024/5/4, 46, 14, 49, 5, , 2
2024/5/5, 44, 12, 43, 1, , 1
2024/5/6, 37, 14, 36, 4, , 1
2024/5/7, 34, 9, 42, 6, , 2
2024/5/8, 28, 5, 41, 3, , 1
2024/5/9, 14, 9, 47, 5, , 
2024/5/10, 29, 11, 47, 5, , 2
2024/5/11, 33, 8, 42, 1, , 1
2024/5/12, 26, 8, 32, 5, , 
2024/5/13, 17, 9, 43, 4, , 
2024/5/14, 27, 12, 52, 8, , 2
2024/5/15, 33, 9, 53, 4, , 2
2024/5/16, 25, 10, 63, 8, , 2
2024/5/17, 33, 16, 85, 6, , 2
2024/5/18, 46, 19, 70, 8, , 3
2024/5/19, 54, 8, 39, 6, , 2
2024/5/20, 21, 15, 75, 8, , 2
2024/5/21, 44, 13, 48, 4, , 
2024/5/22, 41, 14, 40, 5, , 
2024/5/23, 39, 20, 73, 8, , 2
2024/5/24, 55, 11, 52, 3, , 1
2024/5/25, 28, 11, 44, 3, , 1
2024/5/26, 33, 13, 41, 3, , 1
2024/5/27, 33, 10, 24, 5, , 2
2024/5/28, 25, 7, 50, 5, , 2
2024/5/29, 18, 11, 51, 5, , 2
2024/5/30, 25, 8, 45, 5, , 1
2024/5/31, 20, 12, 57, 4, , 2
2024/6/1, 32, 10, 41, 3, , 1
2024/6/2, 30, 8, 48, 5, , 2
2024/6/3, 20, 9, 43, 4, , 
2024/6/4, 23, 10, 56, 5, , 2
2024/6/5, 29, 12, 50, 6, , 1
2024/6/6, 34, 9, 45, 6, , 1
2024/6/7, 26, 10, 61, 7, , 1
2024/6/8, 30, 9, 39, 4, , 1
2024/6/9, 21, 10, 42, 7, , 1
2024/6/10, 27, 11, 56, 4, , 2
2024/6/11, 33, 11, 50, 6, , 1
2024/6/12, 31, 10, 24, 10, , 2
2024/6/13, 24, 15, 70, 6, , 1
2024/6/14, 44, 10, 62, 6, , 2
2024/6/15, 31, 9, 50, 3, , 1
2024/6/16, 21, 16, 61, 9, , 2
2024/6/17, 44, 8, 54, 8, , 2
2024/6/18, 21, 12, 80, 7, , 2
2024/6/19, 34, 14, 50, 5, , 
2024/6/20, 39, 11, 39, 6, , 3
2024/6/21, 28, 10, 58, 4, , 2
2024/6/22, 25, 8, 49, 3, , 2
2024/6/23, 17, 15, 55, 10, , 2
2024/6/24, 36, 21, 56, 8, , 2
2024/6/25, 48, 32, 75, 8, , 3
2024/6/26, 72, 21, 53, 5, , 
2024/6/27, 52, 12, 25, 8, , 2
2024/6/28, 28, 11, 52, 6, , 2
2024/6/29, 30, 13, 29, 2, , 1
2024/6/30, 29, 12, 15, 5, , 1
2024/1/1, 16, 7, 20, 9, , 3
2024/1/2, 33, 10, 13, 16, , 4
2024/1/3, 43, 7, 30, 8, , 3
2024/1/4, 31, 9, 17, 18, , 3
2024/1/5, 35, 11, 18, 23, , 4
2024/1/6, 42, 8, 27, 14, , 3
2024/1/7, 28, 2, 28, 4, , 2
2024/1/8, 14, 8, 18, 19, , 4
2024/1/9, 33, 10, 26, 19, , 4
2024/1/10, 35, 9, 20, 17, , 3
2024/1/11, 35, 11, 21, 25, , 4
2024/1/12, 42, 5, 25, 8, , 2
2024/1/13, 18, 5, 29, 7, , 2
2024/1/14, 21, 5, 28, 11, , 3
2024/1/15, 24, 4, 29, 5, , 2
2024/1/16, 17, 9, 18, 26, , 4
2024/1/17, 36, 16, 11, 34, , 4
2024/1/18, 60, 13, 31, 17, , 3
2024/1/19, 42, 12, 25, 8, , 2
2024/1/20, 46, 5, 25, 5, , 2
2024/1/21, 24, 5, 20, 15, , 3
2024/1/22, 23, 6, 28, 11, , 3
2024/1/23, 25, 3, 29, 5, , 2
2024/1/24, 13, 4, 33, 9, , 3
2024/1/25, 15, 4, 32, 5, , 2
2024/1/26, 13, 4, 34, 3, , 3
2024/1/27, 13, 12, 31, 11, , 3
